cluster	A_SBS18	B_SBS38	C_SBS40	D_TMZ	E_SBS31	F_SBS35
1	12.886842224768	76.5397481485417	323.122399202105	0	0	0
2	299.800320203236	517.384284452095	1168.07045316992	0	0	0
3	303.323859497258	372.273227877835	258.95220098249	0	0	0
4	237.082261731994	291.025545743042	253.685848255503	0	0	0
5	220.266249541033	391.714620807092	1046.10732005239	0	0	0
6	249.406251101846	237.577196587355	191.354306684703	0	0	0
7	132.525922066012	41.0208741478001	45.3032408837648	0	0	0
8	226.143747574361	257.665283578058	267.627607344044	0	152.607716913363	129.546509814724
9	274.907246585957	92.3578091459161	165.327664182462	0	0	0
10	420.52261791985	140.939511688713	386.609512996113	0	0	0
