clone	subs_clone	color	I-H-134819-T10-3-D1-1	I-H-134819-T11-3-D1-1	I-H-134819-T12-3-D1-1	I-H-134819-T14-3-D1-1	I-H-134819-T15-3-D1-1	I-H-134819-T16-3-D1-1	I-H-134819-T9-3-D1-1
T10 44%	none	#00FDFF	0.443250613	0	0	0	0	0	0
T9 54%	T10_6__T9_58	#CA9EF8	0	0	0	0	0	0	0.536610643
T10 100% / T9 64%	T10_T9_100	#7800F8	1	0	0	0	0	0	0.636758456
T11 100%	none	#974706	0	1	0	0	0	0	0
T12 32% / T15-T16 100%	T11_11__T12_29__T15_T16_100	#BFD5BF	0	0	0.315585315	0	1	1	0
T11 19%	T11_16	#DCC1AB	0	0.188357585	0	0	0	0	0
T11 32%	T11_33	#B98459	0	0.317781353	0	0	0	0	0
T11 81%	T11_77	#974706	0	0.805580458	0	0	0	0	0
T11-T12-T14-T15-T16 100%	T11_T12_T14_T15_T16_100	#005800	0	0.954007237	0.93839056	1	0.959164179	0.949925627	0
T11-T12-T15-T16 100%	T11_T12_T15_T16_100	#3F813F	0	1	1	0	1	1	0
T12 14%	T12_16	#AAC7FF	0	0	0.138385386	0	0	0	0
T12 25% / T15-T16 100%	T12_26__T15_T16_100	#BFD5BF	0	0	0.252822741	0	1	1	0
T12 56%	T12_52	#0057FF	0	0	0.559383638	0	0	0	0
T14 100%	T14_100	#FF0080	0	0	0	1	0	0	0
T14 49%	T14_40	#FF7FBF	0	0	0	0.478502159	0	0	0
T14 80%	T14_70	#FF3F9F	0	0	0	0.794483569	0	0	0
T9 100%	none	#7800F8	0	0	0	0	0	0	1
trunk	trunk	#646464	1	1	1	1	1	1	1
