cluster	A_SBS18	B_SBS38	C_SBS40	D_TMZ	E_SBS31	F_SBS35
1	0	10.7471502065474	84.645949066508	0	0	0
2	0	122.758508555238	832.298616846824	0	0	0
3	28.6317333656487	0	177.103985610646	0	0	0
4	39.0602916666361	48.9956152382406	403.089956623323	0	0	39.4411589615215
5	107.477626776381	0	488.890898661529	0	295.929429413835	1407.30670739031
6	20.4963629262919	33.480500309053	348.143140005402	30.9188036086321	0	0
7	158.459445010321	0	817.536704826294	0	309.284835592806	1295.09310217423
8	102.417002387829	0	895.426634196077	0	121.016712461109	952.454811759315
9	107.749401948672	251.299712253649	1372.33979038797	0	0	658.7366798956
10	0	220.919637353663	407.915956477302	0	412.523947533467	1193.15488085526
11	44.1051607907444	24.9487863346694	237.790068662014	0	0	0
12	0	0	1428.84517997601	0	235.024117204654	1736.29369337945
13	0	71.9175711909234	0	0	295.765433940006	122.877330414637
14	34.8378200285642	0	201.533337989607	0	20.3521248619465	133.441019735987
15	16.3545299761249	87.5082603390284	532.124044693508	0	0	423.361860518496
16	0	0	523.345318764296	0	260.000637386597	1225.98086412333
17	0	212.782789191285	1478.44751504116	0	472.654021074782	1054.67214176325
18	0	131.26599736505	817.785454050106	0	444.442616274525	1212.04771526864
19	0	0	1192.65876183294	0	252.839201989221	1165.34135334371
20	0	167.911990311526	673.805449465247	0	412.222454122732	944.087376221156
21	43.7272586502164	53.6664076024572	562.636514560829	0	0	647.941933149668
