clone	subs_clone	color	I-H-132383-T10-1-D1-2	I-H-132383-T11-1-D1-2	I-H-132383-T12-1-D1-2	I-H-132383-T7-1-D1-2	I-H-132383-T8-1-D1-2
T7 82%	T10_4__T7_83	#C79155	0	0	0	0.82267669	0
T12 77% / T7 100%	T10_6__T12_80__T7_84	#AC5A00	0	0	0.766700258	0.975061855	0
T10-T8 100%	T10_87__T8_93	#D2AAFC	1	0	0	0	1
T11 100%	none	black	0	1	0	0	0
T11 65%	T11_59	#A455FA	0	0.648884641	0	0	0
T12 100%	none	black	0	0	1	0	0
T12 28%	T12_31	#7FB7DF	0	0	0.279275484	0	0
T12 71%	T12_77	#0070C0	0	0	0.710650545	0	0
T7 43%	T7_46	#E2D32C	0	0	0	0.425554546	0
T8-T10-T11-T12 100%	none	red	1	1	1	0	1
trunk	trunk	#646464	1	1	1	1	1
