cluster	A_SBS18	B_SBS38	C_SBS40	D_TMZ	E_SBS31	F_SBS35
1	6.36584835492315	1.25156825599945	66.51229342661	0	0	0
2	7.95349880498197	2.6517310350041	8.10005627686349	2.71539357831999	0	0
3	10.0144713016937	16.7125297292967	35.9785852178441	0	0	0
4	92.1456068224259	74.0972640711622	170.578115265692	0	0	0
5	97.5649048845433	129.162428011861	507.107004613642	339.959772480186	282.071919236694	296.303087870988
6	0	0	0	503.736360227636	0	0
7	164.954132188808	0	171.886526482293	0	0	0
8	43.8207097114154	40.3153767503816	427.189196732394	0	0	145.3017093905
9	22.1522915552182	24.3063269849374	0	355.976036324923	0	163.368666348114
10	12.6670444813854	94.8369145816433	156.046288148341	520.408331428443	0	0
11	73.2085844536393	39.8934464608903	62.217880319724	0	0	0
12	215.576862441578	24.7791402110496	267.040373050578	0	32.4941200918466	0
13	84.194869953751	12.6917653544597	167.557513948511	0	0	0
14	64.2748981124455	0	143.197101475629	266.224384955742	0	128.782157590038
15	46.6650985194509	22.6955057417719	43.0970816909903	0	0	0
16	0	117.488589383523	405.818035729296	1101.19528656594	0	429.774916045195
17	94.2626734194063	66.8919667521306	388.573091295622	183.927820150112	0	0
18	60.4045619172457	0	187.884313859723	484.829988227386	0	270.11277168191
19	134.150415527667	0	587.484199875388	0	294.203251973796	0
20	41.4899400649242	55.635420713543	148.035570321068	408.517136886227	0	162.355047310092
21	89.681971557126	77.237168682576	296.759465194504	634.617696535229	0	115.031893577483
22	67.2460499694241	0	50.8679703530873	0	0	0
23	94.2481967376446	3.24042592978308	124.807153821878	0	0	0
24	229.086757039599	185.348623232186	652.225277625834	1174.32588902142	365.468835023795	134.313889002148
25	149.935817579778	97.9541862099718	396.323746076135	152.79927257703	0	0
26	54.9904623984649	0	49.9608777304467	0	0	0
