patient	cluster.no	I-H-134722-T20-2-D1-1	I-H-134722-T21-2-D1-1	I-H-134722-T22-2-D1-1	I-H-134722-T23-2-D1-1	I-H-134722-T24-2-D1-1	no.muts.in.cluster	prop.muts.in.cluster	colour	descr	notes	subs_clone
I-H-134722	1	0.823993374	0.072663646	0.005816127	0.003327281	0.007005714	234	0.1125	#AC5A00	T20_82__T21_7	none	T20_76__T21_12
I-H-134722	2a	0.0006557	0.001	0.005295	0.000479	0.21121	417	0.200480769	#B4B4B4	T24_21	none	T24_19
I-H-134722	2b	0.004849	0.002243	0.0006662	0	0.5292	47	0.022596154	#F23CFF	T24_51	none	T24_53
I-H-134722	2c	0.00077	0.177	0.01097	0.009326	0.001156	184	0.088461538	#660066	T21_18	none	T21_14
I-H-134722	2d	0.24332	0.0005957	0	0	0	35	0.016826923	#B4B4B4	T20_24	none	T20_22
I-H-134722	2e	0.001115	0.01431	0.18347	0.004334	0.001144	62	0.029807692	#FF9D00	T22_17	none	T22_17
I-H-134722	2f	0.0004788	0.002525	0.005958	0.18844	0.0003598	253	0.121634615	#B4B4B4	T23_19	none	T23_19
I-H-134722	2g	0.005296	0.002881	0.003404	0.4407	0.001089	91	0.04375	#E2D32C	T23_44	none	T23_38
I-H-134722	2h	0.00179	0.5022	0.02879	0.00769	0	20	0.009615385	#00C700	T21_50__T22_3	none	T21_23__T22_5__T23_6
I-H-134722	3	0.967781	0.975543209	0.963363597	0.948488008	0.949097898	244	0.117307692	#646464	trunk	none	trunk
I-H-134722	4	0	0.39062	0.5618	0	0	163	0.078365385	#0057FF	T21_39__T22_56	none	T21_41__T22_57
I-H-134722	5	0.014096092	0.005751596	0.006515231	0.00328801	0.846603697	132	0.063461538	#008000	T20_2__T24_82	none	T20_2__T24_82
I-H-134722	6	0	0	0.1512	0.9011	0	109	0.052403846	#FF0000	T22_15__T23_90	none	T22_8__T23_93
I-H-134722	7	0.00077298	0.001608247	0.487505512	0.002794858	0.003057742	40	0.019230769	#B4B4B4	T22_49	none	T22_54
