cluster	A_SBS18	B_SBS38	C_SBS40	D_TMZ	E_SBS31	F_SBS35
1	1186.03938190378	315.135843655349	388.396657336709	0	0	0
2	144.769940057328	320.821290458269	453.928786380289	0	542.308166975015	1034.68780262215
3	363.382494970404	303.519757572863	1303.41333785481	0	1001.47759664141	967.170998670753
4	362.051432320052	516.747202017933	1339.77881653416	0	967.101993215447	1365.07687774395
5	325.397296137648	336.468702427236	1095.29592403542	0	580.754766761632	781.375780127671
6	37.4920557208727	160.24035759732	563.777696368272	0	0	162.004294918539
7	52.9190916445612	2.22348228361185	160.470297922494	0	90.2588266482014	146.560490930755
8	70.8735045088957	30.6789040970291	166.37234286363	208.244101186818	79.7537712280539	156.220771533133
9	0	237.896025102151	781.471978336569	0	162.756840443284	368.77435869685
10	215.800813074128	115.566437015236	595.269508065278	251.686419080773	748.904696791592	656.794772802378
11	325.248589741493	139.217063580091	453.771852477667	221.470423975883	689.596935718086	557.662561377311
12	480.449929376631	496.418733010612	2240.42004993667	408.641942107068	1503.86476253733	1806.97289985765
13	253.346921008069	156.953622235568	988.277023336093	0	565.228699296608	552.067822054772
14	265.496111954538	181.582783743892	1505.28362888805	415.608508654428	567.441107444887	1291.24305308665
15	353.280993555272	347.765320324036	1346.68288232003	383.823036382172	825.677452905164	1180.01175105869
