cluster	A_SBS18	B_SBS38	C_SBS40	D_TMZ	E_SBS31	F_SBS35
1	21.4071267081446	107.372111229381	558.235544204802	0	0	0
2	12.1671791796047	58.0397960130358	211.079973862113	0	0	0
3	44.2100628932146	51.6236948260759	282.889999871654	31.1306532265786	0	0
4	0	16.8393187914731	28.487095768276	0	0	0
5	34.8502178567415	0	139.691875916204	0	8.42234619933724	0
6	16.6373530658115	11.0432115102853	29.3150847567187	0	0	0
7	15.8991735749127	0	69.8605614617085	0	6.80404761092878	0.339777036513442
8	131.128946144459	0	113.198842711461	0	0	0
9	86.7747573982592	6.74386859343403	64.3508975161777	0	0	0
10	17.8774387241429	27.5785838682287	50.3808555529641	0	0	0
11	395.218064541171	0	250.838157912896	0	0	0
12	215.276532208324	4.99866254731845	138.540138978057	0	0	0
13	68.8024871625654	29.6332467725815	141.589286919181	0	0	0
14	61.0389863581315	17.2860023880667	112.384829551172	15.0442762335957	0	0
