cluster	A_SBS18	B_SBS38	C_SBS40	D_TMZ	E_SBS31	F_SBS35
1	329.56962200625	155.081693371194	344.600650881242	0	0	0
2	46.973620174493	38.1636579496772	80.9030041085207	0	0	0
3	119.790515611759	0	739.924672620019	0	170.257461585852	636.946356501763
4	11.9656520064698	0	0	90.5249102495938	0	0
5	8.19370335172328	0	0	65.0499522408098	0	0
6	38.7409099829948	40.9252369374562	44.609873305703	94.1725848307902	0	0
7	55.049009293195	53.1930225697649	231.926168156779	218.566462045208	0	0
8	5.17717591536003	0	0	153.888250601799	0	0
9	27.8284225833075	12.3542256305058	63.5809967892715	113.299277597107	0	20.6242136403261
10	14.2243981661769	32.7995455233872	0	165.438467832571	0	0
11	57.0335822514307	57.1008140697521	118.634089141787	129.674973070995	0	0
12	39.063020149879	0	0	9.78309608974232	3.4504877795311	4.97893978950484
13	65.4944291618139	37.9899820592301	198.108499436768	158.384608221562	0	0
14	0	0	0	50.7406053839423	0	0
15	36.8217991855685	73.1141786500008	86.1654690373464	103.794388678864	0	0
16	59.9462920972127	18.9302585802597	107.999165306268	84.8510647867409	0	0
17	33.9333685125719	41.6683357055232	92.9758335450624	107.518176176145	0	19.361169684129
18	48.6919962189176	0.92423248957202	116.055859076123	73.4331676811877	0	0
19	16.5867053289253	0	118.627316172011	126.382241256255	0	0
20	64.6416934117093	16.15019589439	28.0732916029432	0	11.4900221737535	7.84118803530052
21	135.624281453514	63.0618871030616	100.88978876597	336.075410251147	0	0
22	65.9113516010554	40.7529975759133	138.0107010021	185.569943521851	0	0
23	97.7451552776566	154.228677981778	405.012498386616	142.839110714526	0	0
24	12.2529254118037	19.9351675447462	34.7653453183917	17.6728789129556	0	0
25	44.0458978107504	35.9401629997838	223.240680958188	0	0	0
26	9.83026948225556	4.96537188379451	62.5497593840105	0	8.42888232585747	0
27	30.0708373225179	8.6460936312378	0	73.2396759439208	0	0
28	0	72.1006508717153	240.859065140997	35.359362215067	0	0
29	7.01046714258407	14.0717117226327	44.7824061444141	34.0820571977206	0	0
30	63.2405278763553	0	75.3173442864982	140.270999297749	0	0
31	23.2828246490249	45.6409587120378	26.0109059761593	110.695582146194	0	11.8197097835984
