cluster	A_SBS18	B_SBS38	C_SBS40	D_TMZ	E_SBS31	F_SBS35
1	4.27261847668845	11.2098898800629	68.8730843388491	0	0	0
2	56.0140866367005	31.2104870657896	104.244161303337	0	0	0
3	43.0363902607553	23.4509103868001	83.7003569131931	0	7.96324506671469	0
4	35.3765831187816	0	80.1848077472595	0	0	0
5	17.9626207433137	0	39.0726838995217	0	5.23241737778228	0
6	158.269866773996	0	1130.95787940125	0	805.095841646368	0
7	30.1027260844296	0	44.5779474805926	0	0	0
8	10.9247830587996	13.8878375219247	199.742646839865	0	114.339028076107	0
9	3.70776426870782	3.4316819454647	52.050572386175	0	0	0
10	51.1421582323694	25.8731725932486	126.152331635292	0	0	0
11	22.8389237096177	18.6138875879994	60.3932857886639	0	0	0
12	112.796308585301	0	626.625449027821	0	434.546731882629	226.830836291371
