cluster	A_SBS18	B_SBS38	C_SBS40	D_TMZ	E_SBS31	F_SBS35
1	204.998119158012	119.515476836951	354.4553771771	0	0	0
2	622.033808972695	100.186724765071	782.344707341244	0	0	0
3	44.7765870519773	14.0700856003298	45.0663672640773	0	0	0
4	1287.79680524279	184.454447697606	1348.09224385543	0	0	0
5	86.4331586872679	40.3419033033877	115.900509960989	0	0	0
6	146.891166918806	35.7745621857303	102.620449875186	0	0	0
7	339.183252044994	183.072648684602	843.613320585465	0	110.740597321757	0
8	74.2217686551405	0.60395450462722	102.15313604287	0	0	0
9	893.164522963582	1016.0649777538	0	1374.93252907067	0	0
10	92.675297563986	21.139293948395	97.5824397162173	0	13.5625855964439	0
11	77.8273878030436	10.6286259542074	94.0760560050916	0	0	0
12	1339.30819268271	392.618508449703	1901.01342905236	0	0	0
13	253.878334702925	0	239.488977238353	0	0	0
14	174.229104803222	138.55464795184	0	1105.16379975723	0	0
15	240.584577718286	0	170.427185237383	0	0	0
16	266.952869035488	22.7064168938054	274.332170944574	0	0	0
17	126.644006898902	40.0402579274445	85.5901176637158	0	0	0
18	117.142820551418	0	110.621197305437	0	0	0
