cluster	A_SBS18	B_SBS38	C_SBS40	D_TMZ	E_SBS31	F_SBS35
1	282.994851933079	630.414911554967	2505.39268314408	0	824.939105878161	0
2	17.4271487124522	7.4845995579548	86.9499432635531	0	8.74062042765589	0
3	58.6689383791159	166.17940249438	347.023413288377	0	0	0
4	54.3267300744939	75.3966068686411	99.6634269813949	0	0	0
5	61.3131581171987	179.279102845136	132.349445916351	0	0	0
6	131.543706497271	330.786332786339	462.951153807415	0	72.3727143004551	0
7	50.8282218666533	157.015743075729	222.549755426513	0	0	0
8	40.9730860669092	87.9970866897133	269.088984822768	0	13.0418410226166	0
9	51.6179484373124	55.719993836467	239.521400374778	21.2516458559434	34.3842406703818	0
10	38.1817199523551	24.7063828829204	138.70286019101	0	6.07925934174553	0
11	120.425858070542	343.827886241956	815.137827687096	0	39.9547485527519	87.8843473470432
12	57.4126731542572	90.9297176310503	295.475743564211	0	0	0
13	112.168130845556	190.300956741482	431.478003292231	0	0	0
