sample	seg_order	chr	startpos	endpos	BAF	pval	LogR	ntot	nMaj1_A	nMin1_A	frac1_A	nMaj2_A	nMin2_A	frac2_A	SDfrac_A	SDfrac_A_BS	frac1_A_0.025	frac1_A_0.975	nMaj1_B	nMin1_B	frac1_B	nMaj2_B	nMin2_B	frac2_B	SDfrac_B	SDfrac_B_BS	frac1_B_0.025	frac1_B_0.975	nMaj1_C	nMin1_C	frac1_C	nMaj2_C	nMin2_C	frac2_C	SDfrac_C	SDfrac_C_BS	frac1_C_0.025	frac1_C_0.975	nMaj1_D	nMin1_D	frac1_D	nMaj2_D	nMin2_D	frac2_D	SDfrac_D	SDfrac_D_BS	frac1_D_0.025	frac1_D_0.975	nMaj1_E	nMin1_E	frac1_E	nMaj2_E	nMin2_E	frac2_E	SDfrac_E	SDfrac_E_BS	frac1_E_0.025	frac1_E_0.975	nMaj1_F	nMin1_F	frac1_F	nMaj2_F	nMin2_F	frac2_F	SDfrac_F	SDfrac_F_BS	frac1_F_0.025	frac1_F_0.975
TR1	1	1	768253	249201268	0.572976006	0	0.030075682	2.51525368	1	1	0.527655079	2	1	0.472344921	0.001401544	0.001419958	0.524887939	0.53041603	0	1	0.26382754	2	1	0.73617246	0.000700772	0.000721113	0.262454825	0.265252493	1	1	0.76382754	3	1	0.23617246	0.000700772	0.000691145	0.762416866	0.765260909	2	1	0.606752504	2	2	0.393247496	0.00134176	0.001320397	0.604136406	0.609287355	2	0	0.303376252	2	2	0.696623748	0.00067088	0.000690284	0.302003241	0.304724405	2	1	0.803376252	2	3	0.196623748	0.00067088	0.000667259	0.802039869	0.804705976
TR1	2	2	11320	242954299	0.702805387	1	0.236444573	3.019532766	3	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TR1	3	3	60596	197846280	0.5043731	1	-0.313407363	1.820507582	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TR1	4	4	110646	190744136	0.503936183	1	-0.290970258	1.861015929	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TR1	5	5	850203	156803499	0.822741663	0	-0.541240571	1.442959628	1	0	0.60902976	2	0	0.39097024	0.002367968	0.002352315	0.604895167	0.613866654	0	0	0.30451488	2	0	0.69548512	0.001183984	0.001194157	0.302029172	0.306876935	1	0	0.80451488	3	0	0.19548512	0.001183984	0.001197799	0.802144003	0.80680141	2	0	0.868785541	2	1	0.131214459	0.000685425	0.000690095	0.867442277	0.870122984	2	0	0.93439277	2	2	0.06560723	0.000342713	0.000326496	0.933743599	0.934999026	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TR1	6	5	156874428	157895459	0.702987075	1	0.4273589	3.554847215	3	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TR1	7	5	157902491	180742812	0.822019116	0	-0.52138208	1.47354757	1	0	0.617778097	2	0	0.382221903	0.005683958	0.005718222	0.605311659	0.628842912	0	0	0.308889048	2	0	0.691110952	0.002841979	0.00283874	0.303373911	0.314425671	1	0	0.808889048	3	0	0.191110952	0.002841979	0.00283874	0.803373911	0.814425671	2	0	0.866240712	2	1	0.133759288	0.001661611	0.001609875	0.862977237	0.869502827	2	0	0.933120356	2	2	0.066879644	0.000830805	0.000804937	0.931488618	0.934751413	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TR1	8	6	202452	170921585	0.661077093	0	0.128477807	2.746723601	2	0	0.160779148	2	1	0.839220852	0.001081848	0.001093786	0.158603941	0.162862547	2	0	0.580389574	2	2	0.419610426	0.000540924	0.000530613	0.579406964	0.581430562	1	0	0.673462026	1	1	0.326537974	0.000627667	0.000640284	0.672195122	0.674763605	1	0	0.836731013	1	2	0.163268987	0.000313834	0.00030815	0.836075256	0.837327119	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TR1	9	7	80500	159122659	0.503302977	1	0.488265336	3.74107816	2	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TR1	10	8	156294	10402850	0.583110417	0	0.01108711	2.4723759	1	1	0.448981909	2	1	0.551018091	0.004998073	0.004864738	0.439881541	0.458254282	0	1	0.224490954	2	1	0.775509046	0.002499036	0.002507033	0.219642177	0.229389002	1	1	0.724490954	3	1	0.275509046	0.002499036	0.002507033	0.719642177	0.729389002	1	0	0.393945461	1	1	0.606054539	0.002554716	0.002563367	0.388867052	0.398807401	1	0	0.69697273	1	2	0.30302727	0.001277358	0.001255088	0.694560339	0.699401597	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
