cluster	A_SBS18	B_SBS38	C_SBS40	D_TMZ	E_SBS31	F_SBS35
1	0	308.691146328038	1770.25735166875	0	0	0
2	15.7444973514302	26.0200375672439	179.610877692846	0	0	0
3	14.0591800831497	0	164.268592714723	0	0	27.8289717810784
4	484.206524057921	0	2594.56816944048	0	0	1568.83191593833
5	165.323237642992	0	950.284860819206	0	0	1046.33751915281
6	6.96744471312922	31.8338090911676	93.4844812504248	0	0	0
7	322.14700943507	342.458889066638	2464.76957288229	0	522.041767665361	1346.88179931291
8	0	38.1600982173867	204.696344235688	0	0	0
9	0	28.5327391018526	111.658683154751	0	0	0
10	21.6510121210803	6.78981089579753	90.8948311312934	0	2.77404072725695	12.2593068852942
